DEST,CODE,DISTANCE
Afghanistan,0093,int fixed
Afghanistan Mobile,00937,int mobile
Afghanistan Mobile AWCC,009370,int mobile
Afghanistan Mobile Etisalat,009378,int mobile
Afghanistan Mobile MTN,009377,int mobile
Afghanistan Mobile Roshan,009372,int mobile
Afghanistan Mobile Roshan,009379,int mobile
Albania,00355,int fixed
Albania Mobile,0035534606,int mobile
Albania Mobile,0035534607,int mobile
Albania Mobile,0035534608,int mobile
Albania Mobile,0035534609,int mobile
Albania Mobile,0035535504,int mobile
Albania Mobile,0035535505,int mobile
Albania Mobile,0035538,int mobile
Albania Mobile,003554249,int mobile
Albania Mobile,00355424939,int mobile
Albania Mobile,0035545750,int mobile
Albania Mobile,0035545751,int mobile
Albania Mobile,0035566,int mobile
Albania Mobile,0035567,int mobile
Albania Mobile AMC,0035568,int mobile
Albania Mobile Vodafone,0035569,int mobile
Albania OLO,003554250,int fixed
Albania OLO,003554251,int fixed
Albania OLO,003554252,int fixed
Albania OLO,0035544416,int fixed
Albania OLO,0035544417,int fixed
Albania OLO,0035544418,int fixed
Albania OLO,0035544419,int fixed
Albania Tirana,003554,int fixed
Algeria,00213,int fixed
Algeria Mobile,002136,int mobile
Algeria Mobile,002137,int mobile
Algeria Mobile,002139,int mobile
Algeria Mobile Orascom,0021377,int mobile
Algeria Mobile Orascom,0021378,int mobile
Algeria Mobile Orascom,0021379,int mobile
Algeria Mobile Wantaniya,002135,int mobile
American Samoa,001684,int fixed
Andorra,00376,int fixed
Andorra Mobile,003763,int mobile
Andorra Mobile,003764,int mobile
Andorra Mobile,003765,int mobile
Andorra Mobile,003766,int mobile
Angola,00244,int fixed
Angola Mobile,002449,int mobile
Anguilla,001264,int fixed
Antarctic Global Networks,0088234,int satellite
Antarctica,006721,int fixed
Antigua and Barbuda,001268,int fixed
Argentina,0054,int fixed
Argentina Buenos Aires,005411,int fixed
Argentina Cities,0054221,int fixed
Argentina Cities,0054223,int fixed
Argentina Cities,00542293,int fixed
Argentina Cities,0054230,int fixed
Argentina Cities,0054232,int fixed
Argentina Cities,0054236,int fixed
Argentina Cities,0054237,int fixed
Argentina Cities,0054249,int fixed
Argentina Cities,0054261,int fixed
Argentina Cities,0054291,int fixed
Argentina Cities,0054299,int fixed
Argentina Cities,0054332,int fixed
Argentina Cities,0054336,int fixed
Argentina Cities,0054341,int fixed
Argentina Cities,0054342,int fixed
Argentina Cities,0054343,int fixed
Argentina Cities,00543461,int fixed
Argentina Cities,00543464,int fixed
Argentina Cities,0054348,int fixed
Argentina Cities,0054351,int fixed
Argentina Cities,0054353,int fixed
Argentina Cities,0054358,int fixed
Argentina Cities,0054362,int fixed
Argentina Cities,0054372,int fixed
Argentina Cities,00543783,int fixed
Argentina Cities,00543784,int fixed
Argentina Cities,0054379,int fixed
Argentina Cities,0054381,int fixed
Argentina Mobile,0054112,int mobile
Argentina Mobile,0054113715,int mobile
Argentina Mobile,00541137159,int mobile
Argentina Mobile,00541139,int mobile
Argentina Mobile,00541140,int mobile
Argentina Mobile,00541141,int mobile
Argentina Mobile,00541143,int mobile
Argentina Mobile,00541145,int mobile
Argentina Mobile,00541146,int mobile
Argentina Mobile,00541148,int mobile
Argentina Mobile,00541149,int mobile
Argentina Mobile,00541151,int mobile
Argentina Mobile,00541152,int mobile
Argentina Mobile,00541153,int mobile
Argentina Mobile,0054116261,int mobile
Argentina Mobile,00541170,int mobile
Argentina Mobile,005422024,int mobile
Argentina Mobile,005422025,int mobile
Argentina Mobile,005422026,int mobile
Argentina Mobile,00542204,int mobile
Argentina Mobile,005422131,int mobile
Argentina Mobile,00542214,int mobile
Argentina Mobile,005422150,int mobile
Argentina Mobile,0054221510,int mobile
Argentina Mobile,00542216,int mobile
Argentina Mobile,005422214,int mobile
Argentina Mobile,005422234,int mobile
Argentina Mobile,005422244,int mobile
Argentina Mobile,005422245,int mobile
Argentina Mobile,005422246,int mobile
Argentina Mobile,005422254,int mobile
Argentina Mobile,005422255,int mobile
Argentina Mobile,005422264,int mobile
Argentina Mobile,005422265,int mobile
Argentina Mobile,005422266,int mobile
Argentina Mobile,005422274,int mobile
Argentina Mobile,005422294,int mobile
